Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Менеждер,,,,2022-04-11 11:39:13,2022-04-11 11:40:01,"48,416s",FAILED
,,,,,,,
Test Cases/Менеджер/Авторизация,,"авторизация ,используется в остальных тест кейсах
",,2022-04-11 11:39:20,2022-04-11 11:39:22,"1,627s",FAILED
"openBrowser("""")",,,,2022-04-11 11:39:20,2022-04-11 11:39:22,"1,604s",FAILED
,,,,,,,
Test Cases/Менеджер/Профиль Менеджера,,"смоук + функциональное тестирование профиля администратора
",,2022-04-11 11:39:27,2022-04-11 11:39:28,"1,389s",FAILED
"callTestCase(findTestCase(""Менеджер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:39:27,2022-04-11 11:39:28,"1,369s",FAILED
,,,,,,,
Test Cases/Менеджер/Менеджер Документы,,просмотр вкладки документов и возможность добавления новых,,2022-04-11 11:39:33,2022-04-11 11:39:34,"1,469s",FAILED
"callTestCase(findTestCase(""Менеджер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:39:33,2022-04-11 11:39:34,"1,448s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Игровая статистика Админ,,"функциональный тест
",,2022-04-11 11:39:40,2022-04-11 11:39:42,"1,383s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:39:40,2022-04-11 11:39:42,"1,371s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/будет переделываться Отчет по играм за период,,функциональный тест,,2022-04-11 11:39:46,2022-04-11 11:39:48,"1,497s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:39:47,2022-04-11 11:39:48,"1,479s",FAILED
,,,,,,,
Test Cases/Администратор/Профиль игрока (Для проверки и под менеджером),,просмотр списка игроков и профиля игрока со всеми вкладками,,2022-04-11 11:39:53,2022-04-11 11:39:55,"1,504s",FAILED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/role admin""), ""Администратор"")",,,,2022-04-11 11:39:53,2022-04-11 11:39:53,"0,001s",NOT_RUN
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,Авторизация,,2022-04-11 11:39:53,2022-04-11 11:39:55,"1,476s",FAILED
,,,,,,,
Test Cases/Администратор/дописать физ. тест Рейтинг игроков,,смоук тест,,2022-04-11 11:40:00,2022-04-11 11:40:01,"1,495s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:40:00,2022-04-11 11:40:01,"1,431s",FAILED
