Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Игрок,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:11,2022-04-04 12:58:05,"17m - 54,160s",FAILED
,,,,,,,
Test Cases/Игрок/Авторизация,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:12,2022-04-04 12:42:02,"1m - 49,783s",PASSED
"openBrowser("""")",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:15,2022-04-04 12:41:41,"1m - 25,965s",PASSED
maximizeWindow(),Linux - Chrome 97.0.4692.71,,,2022-04-04 12:41:41,2022-04-04 12:41:42,"0,642s",PASSED
navigateToUrl(url),Linux - Chrome 97.0.4692.71,,,2022-04-04 12:41:42,2022-04-04 12:41:50,"8,211s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj""), player_login)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:41:50,2022-04-04 12:41:55,"4,682s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj_1""), player_password)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:41:55,2022-04-04 12:42:00,"4,875s",PASSED
"click(findTestObject(""manager/Page_/go""))",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:42:00,2022-04-04 12:42:02,"2,086s",PASSED
,,,,,,,
Test Cases/Игрок/Отчеты психофиз профиля,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:42:02,2022-04-04 12:47:38,"5m - 36,184s",FAILED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:42:02,2022-04-04 12:46:04,"4m - 1,975s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты)/report""))",Linux - Chrome 97.0.4692.71,Вкладка отчеты,,2022-04-04 12:46:04,2022-04-04 12:46:22,"18,080s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты)/psixolog""))",Linux - Chrome 97.0.4692.71,Психологический отчет,,2022-04-04 12:46:22,2022-04-04 12:46:24,"2,189s",PASSED
"if (verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты)/div_ganin""), ""Ганин Данила"", OPTIONAL) == true)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:46:24,2022-04-04 12:46:33,"8,466s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты)/div_ganin""), ""Ганин Данила"")",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:46:33,2022-04-04 12:46:33,"0,000s",NOT_RUN
"scrollToElement(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты)/reaction easy""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:46:33,2022-04-04 12:46:37,"3,823s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты)/reaction easy""), ""Реакция на простой стимул"")",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:46:37,2022-04-04 12:46:39,"1,900s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты)/reaction hard""), ""Реакция на сложный стимул"")",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:46:39,2022-04-04 12:46:41,"2,057s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты)/button burg date (1)""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:46:41,2022-04-04 12:46:43,"2,063s",PASSED
