Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Игрок,Chrome 100.0.4896.75,,,2022-04-13 22:55:30,2022-04-13 22:57:55,"2m - 25,196s",PASSED
,,,,,,,
Test Cases/Игрок/Авторизация,Chrome 100.0.4896.75,,,2022-04-13 22:55:31,2022-04-13 22:55:45,"14,014s",PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-13 22:55:32,2022-04-13 22:55:36,"3,999s",PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-13 22:55:36,2022-04-13 22:55:36,"0,167s",PASSED
navigateToUrl(url),Chrome 100.0.4896.75,,,2022-04-13 22:55:36,2022-04-13 22:55:42,"6,519s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj""), player_login)",Chrome 100.0.4896.75,,,2022-04-13 22:55:42,2022-04-13 22:55:43,"1,152s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj_1""), player_password)",Chrome 100.0.4896.75,,,2022-04-13 22:55:43,2022-04-13 22:55:44,"0,942s",PASSED
"click(findTestObject(""manager/Page_/go""))",Chrome 100.0.4896.75,,,2022-04-13 22:55:44,2022-04-13 22:55:45,"0,521s",PASSED
,,,,,,,
Test Cases/Игрок/Оценка навыков,Chrome 100.0.4896.75,,,2022-04-13 22:55:45,2022-04-13 22:56:14,"29,022s",PASSED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-13 22:55:45,2022-04-13 22:55:57,"11,955s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/skill""))",Chrome 100.0.4896.75,Вкладка оценка навыков,,2022-04-13 22:55:57,2022-04-13 22:56:03,"6,059s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (Оценка навыков)/span_1""))",Chrome 100.0.4896.75,Установить оценку 1 в ускорении,,2022-04-13 22:56:03,2022-04-13 22:56:05,"1,179s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/fast fast""), ""Ускорение"")",Chrome 100.0.4896.75,,,2022-04-13 22:56:05,2022-04-13 22:56:05,"0,334s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/button_save""), 0)",Chrome 100.0.4896.75,,,2022-04-13 22:56:05,2022-04-13 22:56:05,"0,473s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/button_save""))",Chrome 100.0.4896.75,Сохранить,,2022-04-13 22:56:05,2022-04-13 22:56:06,"0,604s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/alert skill""), ""Оценки успешно сохранены."")",Chrome 100.0.4896.75,,,2022-04-13 22:56:06,2022-04-13 22:56:07,"0,806s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (Оценка навыков)/report""))",Chrome 100.0.4896.75,Вкладка Отчеты,,2022-04-13 22:56:07,2022-04-13 22:56:08,"0,724s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (Оценка навыков)/repor skill""))",Chrome 100.0.4896.75,Отчеты по навыкам,,2022-04-13 22:56:08,2022-04-13 22:56:08,"0,627s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/div_1""), ""1"")",Chrome 100.0.4896.75,Проверка оценки 1,,2022-04-13 22:56:08,2022-04-13 22:56:09,"0,827s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/div_katanie""), ""Катание"")",Chrome 100.0.4896.75,,,2022-04-13 22:56:09,2022-04-13 22:56:09,"0,351s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/skill""))",Chrome 100.0.4896.75,Вкладка оценка навыков,,2022-04-13 22:56:09,2022-04-13 22:56:11,"1,353s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (Оценка навыков)/span_8""))",Chrome 100.0.4896.75,Поставить оценку 8,,2022-04-13 22:56:11,2022-04-13 22:56:12,"0,856s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/button_save""), 0)",Chrome 100.0.4896.75,,,2022-04-13 22:56:12,2022-04-13 22:56:12,"0,340s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/button_save""))",Chrome 100.0.4896.75,Сохранить,,2022-04-13 22:56:12,2022-04-13 22:56:13,"0,651s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Оценка навыков)/alert skill""), ""Оценки успешно сохранены."")",Chrome 100.0.4896.75,Проверить алерт,,2022-04-13 22:56:13,2022-04-13 22:56:13,"0,703s",PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-13 22:56:13,2022-04-13 22:56:14,"0,619s",PASSED
,,,,,,,
Test Cases/Игрок/Отчет по навыкам,Chrome 100.0.4896.75,,,2022-04-13 22:56:14,2022-04-13 22:56:29,"14,760s",PASSED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-13 22:56:14,2022-04-13 22:56:23,"8,643s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (Отчеты по навыкам)/span_reports""))",Chrome 100.0.4896.75,Вкладка отчеты,,2022-04-13 22:56:23,2022-04-13 22:56:26,"3,698s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (Отчеты по навыкам)/div_report_skills""))",Chrome 100.0.4896.75,Отчет по навыкам,,2022-04-13 22:56:26,2022-04-13 22:56:27,"0,648s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты по навыкам)/div_8""), ""8"")",Chrome 100.0.4896.75,,,2022-04-13 22:56:27,2022-04-13 22:56:28,"0,810s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (Отчеты по навыкам)/div_name""), player_for_test)",Chrome 100.0.4896.75,Проверка имени,,2022-04-13 22:56:28,2022-04-13 22:56:28,"0,331s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчеты по навыкам)/speed""), ""Скорость"")",Chrome 100.0.4896.75,,,2022-04-13 22:56:28,2022-04-13 22:56:29,"0,340s",PASSED
,,,,,,,
Test Cases/Игрок/Отчеты психологического профиля,Chrome 100.0.4896.75,,,2022-04-13 22:56:29,2022-04-13 22:57:55,"1m - 26,558s",PASSED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-13 22:56:29,2022-04-13 22:56:38,"8,957s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/report""))",Chrome 100.0.4896.75,Вкладка отчеты,,2022-04-13 22:56:38,2022-04-13 22:56:44,"5,893s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/psixolog""))",Chrome 100.0.4896.75,Психологический отчет,,2022-04-13 22:56:44,2022-04-13 22:56:45,"0,734s",PASSED
"if (verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/div_ganin""), ""Ганин Данила"", OPTIONAL) == true)",Chrome 100.0.4896.75,,,2022-04-13 22:56:45,2022-04-13 22:57:16,"31,827s",PASSED
else,Chrome 100.0.4896.75,,,2022-04-13 22:57:16,2022-04-13 22:57:18,"1,163s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/div_ganin""), ""Ганин Данила"")",Chrome 100.0.4896.75,,,2022-04-13 22:57:18,2022-04-13 22:57:18,"0,002s",NOT_RUN
"scrollToElement(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/reaction easy""), 0)",Chrome 100.0.4896.75,,,2022-04-13 22:57:18,2022-04-13 22:57:18,"0,822s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/reaction easy""), ""Реакция на простой стимул"")",Chrome 100.0.4896.75,,,2022-04-13 22:57:18,2022-04-13 22:57:19,"0,325s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/reaction hard""), ""Реакция на сложный стимул"")",Chrome 100.0.4896.75,,,2022-04-13 22:57:19,2022-04-13 22:57:19,"0,326s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/button burg date (1)""), 0)",Chrome 100.0.4896.75,,,2022-04-13 22:57:19,2022-04-13 22:57:19,"0,347s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/tab""))",Chrome 100.0.4896.75,,,2022-04-13 22:57:19,2022-04-13 22:57:20,"0,515s",PASSED
"if (verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/div_ganin""), ""Ганин Данила"", OPTIONAL) == true)",Chrome 100.0.4896.75,,,2022-04-13 22:57:20,2022-04-13 22:57:51,"31,511s",PASSED
else,Chrome 100.0.4896.75,,,2022-04-13 22:57:51,2022-04-13 22:57:52,"1,122s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/xarakteristika""), 0)",Chrome 100.0.4896.75,,,2022-04-13 22:57:52,2022-04-13 22:57:53,"0,809s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/xarakteristika""), ""Экстраверсия"")",Chrome 100.0.4896.75,,,2022-04-13 22:57:53,2022-04-13 22:57:54,"0,338s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/xarakteristika 2""), ""Спонтанность"")",Chrome 100.0.4896.75,,,2022-04-13 22:57:54,2022-04-13 22:57:54,"0,357s",PASSED
"click(findTestObject(""Avangard New/Object (Игрок)/Case (Отчет психологического профиля)/home g (1)""))",Chrome 100.0.4896.75,,,2022-04-13 22:57:54,2022-04-13 22:57:55,"0,590s",PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-13 22:57:55,2022-04-13 22:57:55,"0,595s",PASSED
