Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Тренер,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:11,2022-04-04 13:23:46,"43m - 35,496s",FAILED
,,,,,,,
Test Cases/Тренер/Авторизация,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:12,2022-04-04 12:42:05,"1m - 53,475s",PASSED
"openBrowser("""")",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:16,2022-04-04 12:41:44,"1m - 28,454s",PASSED
maximizeWindow(),Linux - Chrome 97.0.4692.71,,,2022-04-04 12:41:44,2022-04-04 12:41:45,"0,565s",PASSED
navigateToUrl(url),Linux - Chrome 97.0.4692.71,,,2022-04-04 12:41:45,2022-04-04 12:41:52,"7,840s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj""), coach_login)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:41:52,2022-04-04 12:41:58,"5,626s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj_1""), coach_password)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:41:58,2022-04-04 12:42:03,"4,717s",PASSED
"click(findTestObject(""manager/Page_/go""))",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:42:03,2022-04-04 12:42:05,"2,362s",PASSED
,,,,,,,
Test Cases/Тренер/Составы,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:42:05,2022-04-04 12:55:04,"12m - 58,617s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:42:05,2022-04-04 12:48:02,"5m - 57,005s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/lines""))",Linux - Chrome 97.0.4692.71,Переход ан вкладку составы,,2022-04-04 12:48:02,2022-04-04 12:48:17,"14,675s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/clear""))",Linux - Chrome 97.0.4692.71,Очистить состав звеньев,,2022-04-04 12:48:17,2022-04-04 12:48:25,"8,320s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/button_yes""))",Linux - Chrome 97.0.4692.71,Очистить,,2022-04-04 12:48:25,2022-04-04 12:48:28,"2,222s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/choice_player""))",Linux - Chrome 97.0.4692.71,Выбор игрока,,2022-04-04 12:48:28,2022-04-04 12:48:31,"3,283s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/line_position""), 0)",Linux - Chrome 97.0.4692.71,Первая позиция,,2022-04-04 12:48:31,2022-04-04 12:48:33,"1,915s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/line_position""))",Linux - Chrome 97.0.4692.71,Первая позиция,,2022-04-04 12:48:33,2022-04-04 12:48:35,"2,060s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player 1""))",Linux - Chrome 97.0.4692.71,Выбор первого игрока,,2022-04-04 12:48:35,2022-04-04 12:48:37,"2,017s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/pos2""))",Linux - Chrome 97.0.4692.71,Вторая позиция,,2022-04-04 12:48:37,2022-04-04 12:48:39,"2,013s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player3""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:48:39,2022-04-04 12:48:41,"1,810s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player3""))",Linux - Chrome 97.0.4692.71,Выбор игрока,,2022-04-04 12:48:41,2022-04-04 12:48:43,"2,235s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/po3""))",Linux - Chrome 97.0.4692.71,Третья позиция,,2022-04-04 12:48:43,2022-04-04 12:48:45,"2,106s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player4""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:48:45,2022-04-04 12:48:48,"2,866s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player4""))",Linux - Chrome 97.0.4692.71,Четверный игрок,,2022-04-04 12:48:48,2022-04-04 12:48:50,"2,049s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/pos4""))",Linux - Chrome 97.0.4692.71,Четвертая позиция,,2022-04-04 12:48:50,2022-04-04 12:48:52,"2,059s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player5""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:48:52,2022-04-04 12:48:55,"2,855s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player5""))",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:48:55,2022-04-04 12:48:57,"1,959s",PASSED
"verifyTextPresent(""Игрок недоступен для выбора"", false)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:48:57,2022-04-04 12:48:59,"2,194s",PASSED
