Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Администратор,Chrome 100.0.4896.75,,,2022-04-13 22:58:17,2022-04-13 23:06:54,"8m - 37,037s",FAILED
,,,,,,,
Test Cases/Администратор/Авторизация,Chrome 100.0.4896.75,"авторизация ,используется в остальных тест кейсах
",,2022-04-13 22:58:17,2022-04-13 22:58:30,"12,673s",PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-13 22:58:17,2022-04-13 22:58:20,"2,257s",PASSED
maximizeWindow(),Chrome 100.0.4896.75,развернуть на полный экран,,2022-04-13 22:58:20,2022-04-13 22:58:20,"0,166s",PASSED
navigateToUrl(url),Chrome 100.0.4896.75,"переход на сайт
",,2022-04-13 22:58:20,2022-04-13 22:58:27,"6,992s",PASSED
"setText(findTestObject(""Object Repository/Page_/input__sc-lnrBVv eqPACj""), admin_login)",Chrome 100.0.4896.75,"ввод логина
",,2022-04-13 22:58:27,2022-04-13 22:58:28,"1,142s",PASSED
"setText(findTestObject(""Object Repository/Page_/input__sc-lnrBVv eqPACj_1""), admin_password)",Chrome 100.0.4896.75,"ввод пароля
",,2022-04-13 22:58:28,2022-04-13 22:58:29,"1,044s",PASSED
"click(findTestObject(""Object Repository/Page_/go""))",Chrome 100.0.4896.75,войти,,2022-04-13 22:58:29,2022-04-13 22:58:30,"0,556s",PASSED
,,,,,,,
Test Cases/Администратор/Профиль Админа,Chrome 100.0.4896.75,"смоук + функциональное тестирование профиля администратора
",,2022-04-13 22:58:30,2022-04-13 22:59:08,"38,093s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-13 22:58:30,2022-04-13 22:58:41,"10,766s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/div_Admin Admin""))",Chrome 100.0.4896.75,просмотр профиля Администратора,,2022-04-13 22:58:41,2022-04-13 22:59:04,"23,653s",PASSED
"verifyTextPresent(""РЕДАКТИРОВАНИЕ ПРОФИЛЯ"", true)",Chrome 100.0.4896.75,,,2022-04-13 22:59:04,2022-04-13 22:59:05,"0,556s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""33.jpg"")",Chrome 100.0.4896.75,,,2022-04-13 22:59:05,2022-04-13 22:59:06,"0,747s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/save""))",Chrome 100.0.4896.75,"кнопка сохранить
",,2022-04-13 22:59:06,2022-04-13 22:59:06,"0,468s",PASSED
"click(findTestObject(""admin/Page_/root""))",Chrome 100.0.4896.75,переход на главную,,2022-04-13 22:59:06,2022-04-13 22:59:07,"0,908s",PASSED
closeBrowser(),Chrome 100.0.4896.75,конец теста,,2022-04-13 22:59:07,2022-04-13 22:59:08,"0,622s",PASSED
,,,,,,,
Test Cases/Администратор/Документы (возможна проверка и под аккаунтом Менеджера),Chrome 100.0.4896.75,просмотр вкладки документов и возможность добавления новых,,2022-04-13 22:59:08,2022-04-13 22:59:50,"42,667s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-13 22:59:08,2022-04-13 22:59:18,"10,115s",PASSED
"click(findTestObject(""Avangard New/Object (Администратор)/Case (Документы)/documents (вкладка документы)""))",Chrome 100.0.4896.75,"переход в меню ""документы""

",,2022-04-13 22:59:18,2022-04-13 22:59:44,"25,447s",PASSED
waitForPageLoad(10),Chrome 100.0.4896.75,ожидание загрузки страницы ,,2022-04-13 22:59:44,2022-04-13 22:59:44,"0,185s",PASSED
"click(findTestObject(""Avangard New/Object (Администратор)/Case (Документы)/document (нажать на документ)""))",Chrome 100.0.4896.75,"Нажимает на документ
",,2022-04-13 22:59:44,2022-04-13 22:59:46,"1,830s",PASSED
