Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Доктор,,,,2022-03-14 21:19:14,2022-03-14 21:19:41,"26,291s",FAILED
,,,,,,,
Test Cases/Доктор/дописать проверку на игрока Проверка вкладки Питание,,,,2022-03-14 21:19:16,2022-03-14 21:19:30,"13,422s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-03-14 21:19:19,2022-03-14 21:19:30,"10,443s",FAILED
,,,,,,,
Test Cases/Доктор/Просмотр профиля,,,,2022-03-14 21:19:30,2022-03-14 21:19:34,"4,149s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-03-14 21:19:31,2022-03-14 21:19:34,"2,617s",FAILED
,,,,,,,
Test Cases/Доктор/Психотест (психолог),,,,2022-03-14 21:19:34,2022-03-14 21:19:37,"2,876s",FAILED
"openBrowser("""")",,,,2022-03-14 21:19:35,2022-03-14 21:19:37,"1,732s",FAILED
,,,,,,,
Test Cases/Доктор/создание карточки болезни,,,,2022-03-14 21:19:37,2022-03-14 21:19:41,"3,869s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-03-14 21:19:39,2022-03-14 21:19:41,"2,063s",FAILED
