Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Игрок,Chrome 99.0.4844.51,,,2022-03-15 00:32:29,2022-03-15 00:35:35,"3m - 6,022s",FAILED
,,,,,,,
Test Cases/Игрок/Авторизация,Chrome 99.0.4844.51,,,2022-03-15 00:32:31,2022-03-15 00:33:14,"43,045s",PASSED
"openBrowser("""")",Chrome 99.0.4844.51,,,2022-03-15 00:32:35,2022-03-15 00:32:48,"12,675s",PASSED
maximizeWindow(),Chrome 99.0.4844.51,,,2022-03-15 00:32:48,2022-03-15 00:32:48,"0,284s",PASSED
navigateToUrl(url),Chrome 99.0.4844.51,,,2022-03-15 00:32:48,2022-03-15 00:33:11,"22,910s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj""), player_login)",Chrome 99.0.4844.51,,,2022-03-15 00:33:11,2022-03-15 00:33:12,"1,312s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj_1""), player_password)",Chrome 99.0.4844.51,,,2022-03-15 00:33:12,2022-03-15 00:33:14,"1,265s",PASSED
"click(findTestObject(""manager/Page_/go""))",Chrome 99.0.4844.51,,,2022-03-15 00:33:14,2022-03-15 00:33:14,"0,624s",PASSED
,,,,,,,
Test Cases/Игрок/Отчеты,Chrome 99.0.4844.51,,,2022-03-15 00:33:14,2022-03-15 00:35:35,"2m - 21,016s",FAILED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 99.0.4844.51,,,2022-03-15 00:33:15,2022-03-15 00:33:51,"35,858s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/report""))",Chrome 99.0.4844.51,Вкладка отчеты,,2022-03-15 00:33:51,2022-03-15 00:34:19,"28,405s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/psixolog""))",Chrome 99.0.4844.51,Психологический отчет,,2022-03-15 00:34:19,2022-03-15 00:34:20,"0,927s",PASSED
"if (verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/div_ganin""), ""Ганин Данила"", OPTIONAL) == true)",Chrome 99.0.4844.51,,,2022-03-15 00:34:20,2022-03-15 00:34:27,"7,333s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/div_ganin""), ""Ганин Данила"")",Chrome 99.0.4844.51,,,2022-03-15 00:34:27,2022-03-15 00:34:27,"0,005s",NOT_RUN
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/reaction easy""), 0)",Chrome 99.0.4844.51,,,2022-03-15 00:34:27,2022-03-15 00:35:02,"34,419s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/reaction easy""), ""Реакция на простой стимул"")",Chrome 99.0.4844.51,,,2022-03-15 00:35:02,2022-03-15 00:35:34,"32,062s",FAILED
