Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Администратор,Linux - Chrome 97.0.4692.71,,,2022-02-21 12:30:23,2022-02-21 12:59:45,"29m - 22,057s",FAILED
,,,,,,,
Test Cases/Администратор/Школы,Linux - Chrome 97.0.4692.71,смоук тест вкладки школы ,,2022-02-21 12:30:25,2022-02-21 12:33:14,"2m - 48,376s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,авторизация,,2022-02-21 12:30:28,2022-02-21 12:31:28,"1m - 0,007s",PASSED
"click(findTestObject(""Object Repository/admin/school/schools/schools""))",Linux - Chrome 97.0.4692.71,переход на вкладу школы,,2022-02-21 12:31:28,2022-02-21 12:31:57,"29,035s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""43.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:31:57,2022-02-21 12:32:05,"8,288s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/div_""))",Linux - Chrome 97.0.4692.71,"выбор Академия ""Авангард"" и переход к расписанию школы
",,2022-02-21 12:32:05,2022-02-21 12:32:08,"2,572s",PASSED
"scrollToElement(findTestObject(""Object Repository/admin/school/Page_/players""), 0)",Linux - Chrome 97.0.4692.71,переход на вкладку игроков,,2022-02-21 12:32:08,2022-02-21 12:32:13,"5,682s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/players""))",Linux - Chrome 97.0.4692.71,переход на вкладку игроков,,2022-02-21 12:32:13,2022-02-21 12:32:16,"2,946s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""44.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:32:16,2022-02-21 12:32:25,"9,076s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/team""))",Linux - Chrome 97.0.4692.71,переход на вкладку команд,,2022-02-21 12:32:25,2022-02-21 12:32:35,"9,824s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""45.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:32:35,2022-02-21 12:32:42,"6,917s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/omsk""))",Linux - Chrome 97.0.4692.71,"выбр команды ОМСКИЕ ЯСТРЕБЫ 
",,2022-02-21 12:32:42,2022-02-21 12:32:44,"2,285s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/edit""))",Linux - Chrome 97.0.4692.71,переход на вкладку редактирование ,,2022-02-21 12:32:44,2022-02-21 12:32:48,"3,702s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""47.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:32:48,2022-02-21 12:32:54,"5,777s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/allplayer""))",Linux - Chrome 97.0.4692.71,"переход на вкладку все игроки
",,2022-02-21 12:32:54,2022-02-21 12:32:56,"2,281s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""48.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:32:56,2022-02-21 12:33:04,"7,384s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/groups""))",Linux - Chrome 97.0.4692.71,"переход на вкладку занятие команды
",,2022-02-21 12:33:04,2022-02-21 12:33:06,"2,737s",PASSED
"click(findTestObject(""manager/schools/overlay""), CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:33:06,2022-02-21 12:33:10,"3,889s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/root""))",Linux - Chrome 97.0.4692.71,"переход на главную 
",,2022-02-21 12:33:10,2022-02-21 12:33:13,"2,640s",PASSED
closeBrowser(),Linux - Chrome 97.0.4692.71,конец теста,,2022-02-21 12:33:13,2022-02-21 12:33:14,"0,679s",PASSED
,,,,,,,
Test Cases/Администратор/Тренеры,Linux - Chrome 97.0.4692.71,смоук + функциональный тест вкладки тренеров,,2022-02-21 12:33:14,2022-02-21 12:36:20,"3m - 6,442s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,"авторизация
",,2022-02-21 12:33:14,2022-02-21 12:35:21,"2m - 7,452s",PASSED
"click(findTestObject(""Object Repository/admin/teachers/Page_/teach""))",Linux - Chrome 97.0.4692.71,"переход на вкладку тренеры
",,2022-02-21 12:35:21,2022-02-21 12:35:50,"28,861s",PASSED
"click(findTestObject(""Object Repository/admin/teachers/Page_/span_""))",Linux - Chrome 97.0.4692.71,"профиль тренера , Шастин Егор ",,2022-02-21 12:35:50,2022-02-21 12:35:52,"2,284s",PASSED
"verifyTextPresent(""ПРОФИЛЬ ПРЕПОДАВАТЕЛЯ"", false)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:35:52,2022-02-21 12:35:55,"2,202s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""41.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:35:55,2022-02-21 12:36:01,"6,750s",PASSED
"click(findTestObject(""Object Repository/admin/teachers/Page_/career""))",Linux - Chrome 97.0.4692.71,переход на вклдку карьера ,,2022-02-21 12:36:01,2022-02-21 12:36:04,"2,436s",PASSED
"verifyTextPresent(""КАРЬЕРА ТРЕНЕРА"", false)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:36:04,2022-02-21 12:36:06,"2,156s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""42.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:36:06,2022-02-21 12:36:13,"6,908s",PASSED
"click(findTestObject(""Object Repository/admin/teachers/Page_/button_""))",Linux - Chrome 97.0.4692.71,кнопка сохранить ( без редактирования) ,,2022-02-21 12:36:13,2022-02-21 12:36:15,"2,278s",PASSED
"verifyTextPresent(""Пользователь сохранен"", false)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:36:15,2022-02-21 12:36:17,"2,294s",PASSED
"click(findTestObject(""Object Repository/admin/teachers/Page_/root""))",Linux - Chrome 97.0.4692.71,переход на главную ,,2022-02-21 12:36:17,2022-02-21 12:36:19,"1,988s",PASSED
closeBrowser(),Linux - Chrome 97.0.4692.71,"конец теста
",,2022-02-21 12:36:19,2022-02-21 12:36:20,"0,542s",PASSED
,,,,,,,
Test Cases/Администратор/Рейтинг,Linux - Chrome 97.0.4692.71,смоук тест,,2022-02-21 12:36:20,2022-02-21 12:39:35,"3m - 15,116s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:36:20,2022-02-21 12:37:53,"1m - 32,483s",PASSED
"click(findTestObject(""Object Repository/admin/rating/grating""))",Linux - Chrome 97.0.4692.71,переход на вкладку рейтинг игроков,,2022-02-21 12:37:53,2022-02-21 12:38:14,"21,223s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""34.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:38:14,2022-02-21 12:38:32,"18,112s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/shkool""))",Linux - Chrome 97.0.4692.71,выбор школы,,2022-02-21 12:38:32,2022-02-21 12:38:34,"1,900s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/div_ (2)""))",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:38:34,2022-02-21 12:38:36,"2,371s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/team""))",Linux - Chrome 97.0.4692.71,выбор команды,,2022-02-21 12:38:36,2022-02-21 12:38:39,"2,456s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/omsk""))",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:38:39,2022-02-21 12:38:41,"2,414s",PASSED
"scrollToElement(findTestObject(""Object Repository/admin/Page_/top1""), 0)",Linux - Chrome 97.0.4692.71,выбор игрока (Давыдов Тимофей) ,,2022-02-21 12:38:41,2022-02-21 12:38:44,"3,093s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/top1""))",Linux - Chrome 97.0.4692.71,выбор игрока (Давыдов Тимофей) ,,2022-02-21 12:38:44,2022-02-21 12:38:47,"2,742s",PASSED
