Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Тренер,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:35:27,2022-03-03 12:53:40,"18m - 13,031s",FAILED
,,,,,,,
Test Cases/Тренер/Авторизация,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:35:28,2022-03-03 12:38:01,"2m - 32,161s",PASSED
"openBrowser("""")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:35:33,2022-03-03 12:37:42,"2m - 9,064s",PASSED
maximizeWindow(),Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:42,2022-03-03 12:37:43,"0,485s",PASSED
navigateToUrl(url),Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:43,2022-03-03 12:37:50,"6,998s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj""), coach_login)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:50,2022-03-03 12:37:54,"4,274s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj_1""), coach_password)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:54,2022-03-03 12:37:58,"4,583s",PASSED
"click(findTestObject(""manager/Page_/go""))",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:58,2022-03-03 12:38:01,"2,213s",PASSED
,,,,,,,
Test Cases/Тренер/Составы,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:38:01,2022-03-03 12:43:13,"5m - 12,304s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:38:01,2022-03-03 12:41:56,"3m - 54,793s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/lines""))",Linux - Chrome 97.0.4692.71,Переход ан вкладку составы,,2022-03-03 12:41:56,2022-03-03 12:42:26,"30,565s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/clear""))",Linux - Chrome 97.0.4692.71,Очистить состав звеньев,,2022-03-03 12:42:26,2022-03-03 12:42:33,"6,653s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/button_yes""))",Linux - Chrome 97.0.4692.71,Очистить,,2022-03-03 12:42:33,2022-03-03 12:42:35,"2,228s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/choice_player""))",Linux - Chrome 97.0.4692.71,Выбор игрока,,2022-03-03 12:42:35,2022-03-03 12:42:38,"2,572s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/line_position""), 0)",Linux - Chrome 97.0.4692.71,Первая позиция,,2022-03-03 12:42:38,2022-03-03 12:42:40,"1,925s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/line_position""))",Linux - Chrome 97.0.4692.71,Первая позиция,,2022-03-03 12:42:40,2022-03-03 12:42:42,"2,092s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player 1""))",Linux - Chrome 97.0.4692.71,Выбор первого игрока,,2022-03-03 12:42:42,2022-03-03 12:42:48,"6,677s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/pos2""))",Linux - Chrome 97.0.4692.71,Вторая позиция,,2022-03-03 12:42:48,2022-03-03 12:42:51,"2,121s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player3""), 0)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:42:51,2022-03-03 12:42:52,"1,945s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player3""))",Linux - Chrome 97.0.4692.71,Выбор игрока,,2022-03-03 12:42:52,2022-03-03 12:42:55,"2,363s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/po3""))",Linux - Chrome 97.0.4692.71,Третья позиция,,2022-03-03 12:42:55,2022-03-03 12:42:57,"1,995s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player4""), 0)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:42:57,2022-03-03 12:42:59,"1,873s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player4""))",Linux - Chrome 97.0.4692.71,Четверный игрок,,2022-03-03 12:42:59,2022-03-03 12:43:01,"2,057s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/pos4""))",Linux - Chrome 97.0.4692.71,Четвертая позиция,,2022-03-03 12:43:01,2022-03-03 12:43:03,"2,074s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player5""), 0)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:43:03,2022-03-03 12:43:05,"2,240s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player5""))",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:43:05,2022-03-03 12:43:07,"2,048s",PASSED
"verifyTextPresent(""Игрок недоступен для выбора"", false)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:43:07,2022-03-03 12:43:10,"3,344s",FAILED
,,,,,,,
Test Cases/Тренер/Профиль Тренера,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:43:13,2022-03-03 12:44:43,"1m - 30,241s",PASSED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:43:13,2022-03-03 12:44:26,"1m - 12,425s",PASSED
"click(findTestObject(""Object Repository/ТРЕНЕР/reports/IMT/Page_/Page_/div_ (1)""))",Linux - Chrome 97.0.4692.71,"Открывает редактирование профиля
",,2022-03-03 12:44:26,2022-03-03 12:44:35,"9,548s",PASSED
"click(findTestObject(""Object Repository/ТРЕНЕР/reports/IMT/Page_/Page_/save""))",Linux - Chrome 97.0.4692.71,"Сохраняет
",,2022-03-03 12:44:35,2022-03-03 12:44:38,"2,466s",PASSED
