Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Тренер,Linux - Chrome 97.0.4692.71,,,2022-04-05 10:19:34,2022-04-05 11:00:20,"40m - 46,130s",FAILED
,,,,,,,
Test Cases/Тренер/Авторизация,Linux - Chrome 97.0.4692.71,,,2022-04-05 10:19:36,2022-04-05 10:21:34,"1m - 57,929s",PASSED
"openBrowser("""")",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:19:38,2022-04-05 10:21:15,"1m - 36,906s",PASSED
maximizeWindow(),Linux - Chrome 97.0.4692.71,,,2022-04-05 10:21:15,2022-04-05 10:21:15,"0,506s",PASSED
navigateToUrl(url),Linux - Chrome 97.0.4692.71,,,2022-04-05 10:21:15,2022-04-05 10:21:23,"7,186s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj""), coach_login)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:21:23,2022-04-05 10:21:27,"4,775s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj_1""), coach_password)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:21:27,2022-04-05 10:21:32,"4,189s",PASSED
"click(findTestObject(""manager/Page_/go""))",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:21:32,2022-04-05 10:21:34,"2,036s",PASSED
,,,,,,,
Test Cases/Тренер/Составы,Linux - Chrome 97.0.4692.71,,,2022-04-05 10:21:34,2022-04-05 10:26:33,"4m - 59,780s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:21:34,2022-04-05 10:25:27,"3m - 52,893s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/lines""))",Linux - Chrome 97.0.4692.71,Переход ан вкладку составы,,2022-04-05 10:25:27,2022-04-05 10:25:38,"11,425s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/clear""))",Linux - Chrome 97.0.4692.71,Очистить состав звеньев,,2022-04-05 10:25:38,2022-04-05 10:25:46,"7,402s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/button_yes""))",Linux - Chrome 97.0.4692.71,Очистить,,2022-04-05 10:25:46,2022-04-05 10:25:48,"2,099s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/choice_player""))",Linux - Chrome 97.0.4692.71,Выбор игрока,,2022-04-05 10:25:48,2022-04-05 10:25:50,"2,325s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/line_position""), 0)",Linux - Chrome 97.0.4692.71,Первая позиция,,2022-04-05 10:25:50,2022-04-05 10:25:52,"2,044s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/line_position""))",Linux - Chrome 97.0.4692.71,Первая позиция,,2022-04-05 10:25:52,2022-04-05 10:25:54,"2,172s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player 1""))",Linux - Chrome 97.0.4692.71,Выбор первого игрока,,2022-04-05 10:25:54,2022-04-05 10:25:57,"2,253s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/pos2""))",Linux - Chrome 97.0.4692.71,Вторая позиция,,2022-04-05 10:25:57,2022-04-05 10:25:59,"1,981s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player3""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:25:59,2022-04-05 10:26:00,"1,791s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player3""))",Linux - Chrome 97.0.4692.71,Выбор игрока,,2022-04-05 10:26:00,2022-04-05 10:26:02,"1,906s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/po3""))",Linux - Chrome 97.0.4692.71,Третья позиция,,2022-04-05 10:26:02,2022-04-05 10:26:04,"2,007s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player4""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:26:04,2022-04-05 10:26:06,"1,942s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player4""))",Linux - Chrome 97.0.4692.71,Четверный игрок,,2022-04-05 10:26:06,2022-04-05 10:26:08,"1,985s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/pos4""))",Linux - Chrome 97.0.4692.71,Четвертая позиция,,2022-04-05 10:26:08,2022-04-05 10:26:10,"2,043s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player5""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:26:10,2022-04-05 10:26:12,"2,111s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/player5""))",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:26:12,2022-04-05 10:26:14,"2,094s",PASSED
"verifyTextPresent(""Игрок недоступен для выбора"", false)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:26:14,2022-04-05 10:26:17,"2,261s",PASSED
"click(findTestObject(""Avangard New/Object (Тренер)/Case (Составы)/button_save""))",Linux - Chrome 97.0.4692.71,Кнопка сохранить,,2022-04-05 10:26:17,2022-04-05 10:26:19,"2,030s",PASSED
"verifyTextPresent(""Изменения в составе сохранены"", false)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:26:19,2022-04-05 10:26:31,"12,276s",FAILED
,,,,,,,
Test Cases/Тренер/Профиль Тренера,Linux - Chrome 97.0.4692.71,,,2022-04-05 10:26:33,2022-04-05 10:31:44,"5m - 10,645s",PASSED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:26:34,2022-04-05 10:31:26,"4m - 52,460s",PASSED
