Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Администратор,,,,2022-03-03 11:29:39,2022-03-03 11:30:32,"52,970s",FAILED
,,,,,,,
Test Cases/Администратор/Школы,,смоук тест вкладки школы ,,2022-03-03 11:29:40,2022-03-03 11:29:55,"14,715s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,авторизация,,2022-03-03 11:29:43,2022-03-03 11:29:55,"11,585s",FAILED
,,,,,,,
Test Cases/Администратор/Тренеры,,смоук + функциональный тест вкладки тренеров,,2022-03-03 11:29:55,2022-03-03 11:29:58,"3,406s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,"авторизация
",,2022-03-03 11:29:57,2022-03-03 11:29:58,"1,496s",FAILED
,,,,,,,
Test Cases/Администратор/Рейтинг,,смоук тест,,2022-03-03 11:29:58,2022-03-03 11:30:02,"3,435s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:00,2022-03-03 11:30:02,"1,584s",FAILED
,,,,,,,
Test Cases/Администратор/Профиль,,"смоук + функциональное тестирование профиля администратора
",,2022-03-03 11:30:02,2022-03-03 11:30:06,"4,071s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:04,2022-03-03 11:30:06,"1,654s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Физическое тестирование (Поменяется в спринте),,функцуиональное тестирование,,2022-03-03 11:30:06,2022-03-03 11:30:11,"5,471s",FAILED
"callTestCase(findTestCase(""Администратор/Отчет для тк""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:07,2022-03-03 11:30:11,"4,041s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Список участников без оценки,,функцуиональное тестирование,,2022-03-03 11:30:11,2022-03-03 11:30:15,"3,912s",FAILED
"callTestCase(findTestCase(""Администратор/Отчет для тк""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:14,2022-03-03 11:30:15,"1,660s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Отчет психофиз,,,,2022-03-03 11:30:15,2022-03-03 11:30:18,"2,877s",FAILED
"callTestCase(findTestCase(""Администратор/Отчет для тк""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:17,2022-03-03 11:30:18,"1,516s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Отчет по играм за период,,функциональный тест,,2022-03-03 11:30:18,2022-03-03 11:30:22,"3,962s",FAILED
"callTestCase(findTestCase(""Администратор/Отчет для тк""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:21,2022-03-03 11:30:22,"1,657s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Игровая статистика,,"функциональный тест
",,2022-03-03 11:30:22,2022-03-03 11:30:25,"2,598s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:23,2022-03-03 11:30:25,"1,556s",FAILED
,,,,,,,
Test Cases/Администратор/Отчет для тк,,,,2022-03-03 11:30:25,2022-03-03 11:30:26,"1,363s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:25,2022-03-03 11:30:26,"1,348s",FAILED
,,,,,,,
Test Cases/Администратор/Команды,,смоук тест,,2022-03-03 11:30:26,2022-03-03 11:30:29,"2,528s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:27,2022-03-03 11:30:29,"1,500s",FAILED
,,,,,,,
Test Cases/Администратор/Документы (возможна проверка и под аккаунтом Менеджера),,просмотр вкладки документов и возможность добавления новых,,2022-03-03 11:30:29,2022-03-03 11:30:30,"1,637s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:29,2022-03-03 11:30:30,"1,176s",FAILED
,,,,,,,
Test Cases/Администратор/Авторизация,,"авторизация ,используется в остальных тест кейсах
",,2022-03-03 11:30:30,2022-03-03 11:30:32,"1,178s",FAILED
"openBrowser("""")",,,,2022-03-03 11:30:30,2022-03-03 11:30:32,"1,172s",FAILED
