Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Доктор,,,,2022-04-11 11:08:03,2022-04-11 11:08:19,"15,428s",FAILED
,,,,,,,
Test Cases/Доктор/Авторизация врач,,,,2022-04-11 11:08:04,2022-04-11 11:08:08,"3,927s",FAILED
"openBrowser("""")",,,,2022-04-11 11:08:04,2022-04-11 11:08:07,"3,234s",FAILED
,,,,,,,
Test Cases/Доктор/Просмотр профиля,,,,2022-04-11 11:08:08,2022-04-11 11:08:10,"2,316s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:08:08,2022-04-11 11:08:10,"1,629s",FAILED
,,,,,,,
Test Cases/Доктор/Психотест (психолог),,,,2022-04-11 11:08:10,2022-04-11 11:08:13,"2,914s",FAILED
"openBrowser("""")",,,,2022-04-11 11:08:11,2022-04-11 11:08:13,"1,447s",FAILED
,,,,,,,
Test Cases/Доктор/дописать проверку на игрока Проверка вкладки Питание,,,,2022-04-11 11:08:13,2022-04-11 11:08:15,"2,659s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:08:14,2022-04-11 11:08:15,"1,642s",FAILED
,,,,,,,
Test Cases/Доктор/Создание карточки болезни,,,,2022-04-11 11:08:15,2022-04-11 11:08:19,"3,106s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:08:17,2022-04-11 11:08:19,"1,435s",FAILED
