Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Тренер,,,,2022-03-14 22:10:35,2022-03-14 22:11:16,"40,775s",FAILED
,,,,,,,
Test Cases/Тренер/Авторизация,,,,2022-03-14 22:10:36,2022-03-14 22:10:51,"14,832s",FAILED
"openBrowser("""")",,,,2022-03-14 22:10:39,2022-03-14 22:10:51,"11,724s",FAILED
,,,,,,,
Test Cases/Тренер/Составы,,,,2022-03-14 22:10:51,2022-03-14 22:10:58,"6,711s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:10:51,2022-03-14 22:10:58,"6,337s",FAILED
,,,,,,,
Test Cases/Тренер/Профиль Тренера,,,,2022-03-14 22:10:58,2022-03-14 22:11:03,"5,224s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:10:58,2022-03-14 22:11:03,"4,801s",FAILED
,,,,,,,
Test Cases/Тренер/Статистика,,,,2022-03-14 22:11:03,2022-03-14 22:11:05,"2,398s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:11:04,2022-03-14 22:11:05,"1,716s",FAILED
,,,,,,,
Test Cases/Тренер/Оценка навыков,,,,2022-03-14 22:11:05,2022-03-14 22:11:08,"2,758s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:11:06,2022-03-14 22:11:08,"2,420s",FAILED
,,,,,,,
Test Cases/Тренер/Оценка по играм,,,,2022-03-14 22:11:08,2022-03-14 22:11:12,"3,558s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:11:08,2022-03-14 22:11:12,"3,309s",FAILED
,,,,,,,
Test Cases/Тренер/Рекомендации по ОФП,,,,2022-03-14 22:11:12,2022-03-14 22:11:16,"3,751s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:11:12,2022-03-14 22:11:16,"3,390s",FAILED
