Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Администратор,,,,2022-04-11 11:07:52,2022-04-11 11:08:14,"22,330s",FAILED
,,,,,,,
Test Cases/Администратор/Авторизация,,"авторизация ,используется в остальных тест кейсах
",,2022-04-11 11:07:52,2022-04-11 11:07:56,"4,234s",FAILED
"openBrowser("""")",,,,2022-04-11 11:07:53,2022-04-11 11:07:56,"3,493s",FAILED
,,,,,,,
Test Cases/Администратор/Профиль Админа,,"смоук + функциональное тестирование профиля администратора
",,2022-04-11 11:07:56,2022-04-11 11:07:58,"2,113s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:07:57,2022-04-11 11:07:58,"1,650s",FAILED
,,,,,,,
Test Cases/Администратор/Документы (возможна проверка и под аккаунтом Менеджера),,просмотр вкладки документов и возможность добавления новых,,2022-04-11 11:07:58,2022-04-11 11:08:01,"2,070s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:07:59,2022-04-11 11:08:01,"1,472s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Игровая статистика Админ,,"функциональный тест
",,2022-04-11 11:08:01,2022-04-11 11:08:02,"1,935s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:08:01,2022-04-11 11:08:02,"1,374s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Отчет психологического профиля,,,,2022-04-11 11:08:02,2022-04-11 11:08:05,"2,249s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:08:03,2022-04-11 11:08:05,"1,478s",FAILED
,,,,,,,
Test Cases/Администратор/Пользователи,,,,2022-04-11 11:08:05,2022-04-11 11:08:07,"2,204s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:08:05,2022-04-11 11:08:07,"1,666s",FAILED
,,,,,,,
Test Cases/Администратор/Профиль игрока (Для проверки и под менеджером),,просмотр списка игроков и профиля игрока со всеми вкладками,,2022-04-11 11:08:07,2022-04-11 11:08:09,"2,107s",FAILED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/role admin""), ""Администратор"")",,,,2022-04-11 11:08:08,2022-04-11 11:08:08,"0,005s",NOT_RUN
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,Авторизация,,2022-04-11 11:08:08,2022-04-11 11:08:09,"1,409s",FAILED
,,,,,,,
Test Cases/Администратор/Тренеры,,смоук + функциональный тест вкладки тренеров,,2022-04-11 11:08:09,2022-04-11 11:08:11,"2,077s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,"авторизация
",,2022-04-11 11:08:10,2022-04-11 11:08:11,"1,371s",FAILED
,,,,,,,
Test Cases/Администратор/дописать физ. тест Рейтинг игроков,,смоук тест,,2022-04-11 11:08:11,2022-04-11 11:08:14,"2,760s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-04-11 11:08:12,2022-04-11 11:08:14,"1,503s",FAILED
