Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Доктор,,,,2022-03-14 22:10:33,2022-03-14 22:10:58,"24,704s",FAILED
,,,,,,,
Test Cases/Доктор/дописать проверку на игрока Проверка вкладки Питание,,,,2022-03-14 22:10:35,2022-03-14 22:10:52,"16,598s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:10:39,2022-03-14 22:10:52,"12,923s",FAILED
,,,,,,,
Test Cases/Доктор/Просмотр профиля,,,,2022-03-14 22:10:52,2022-03-14 22:10:54,"1,889s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:10:52,2022-03-14 22:10:54,"1,571s",FAILED
,,,,,,,
Test Cases/Доктор/Психотест (психолог),,,,2022-03-14 22:10:54,2022-03-14 22:10:55,"1,721s",FAILED
"openBrowser("""")",,,,2022-03-14 22:10:54,2022-03-14 22:10:55,"1,442s",FAILED
,,,,,,,
Test Cases/Доктор/создание карточки болезни,,,,2022-03-14 22:10:55,2022-03-14 22:10:58,"2,773s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:10:56,2022-03-14 22:10:58,"2,503s",FAILED
