Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Тренер,Linux - Chrome 97.0.4692.71,,,2022-02-21 12:30:25,2022-02-21 12:53:34,"23m - 9,110s",FAILED
,,,,,,,
Test Cases/Тренер/Авторизация,Linux - Chrome 97.0.4692.71,,,2022-02-21 12:30:26,2022-02-21 12:31:21,"55,057s",PASSED
"openBrowser("""")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:30:30,2022-02-21 12:31:03,"32,898s",PASSED
maximizeWindow(),Linux - Chrome 97.0.4692.71,,,2022-02-21 12:31:03,2022-02-21 12:31:03,"0,722s",PASSED
navigateToUrl(url),Linux - Chrome 97.0.4692.71,,,2022-02-21 12:31:03,2022-02-21 12:31:11,"7,591s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj""), coach_login)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:31:11,2022-02-21 12:31:15,"4,395s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj_1""), coach_password)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:31:15,2022-02-21 12:31:19,"3,928s",PASSED
"click(findTestObject(""manager/Page_/go""))",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:31:19,2022-02-21 12:31:21,"2,270s",PASSED
,,,,,,,
Test Cases/Тренер/Рекомендации по ОФП,Linux - Chrome 97.0.4692.71,,,2022-02-21 12:31:21,2022-02-21 12:40:45,"9m - 23,724s",PASSED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:31:22,2022-02-21 12:33:35,"2m - 13,300s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/physical_testing_report""))",Linux - Chrome 97.0.4692.71,"Открытие вкладки физическое тестирование
",,2022-02-21 12:33:35,2022-02-21 12:33:49,"14,323s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/div_31.07.2020""))",Linux - Chrome 97.0.4692.71,Нажимает на поле Дата поценки,,2022-02-21 12:33:49,2022-02-21 12:33:53,"3,459s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/div_31.10.2020""))",Linux - Chrome 97.0.4692.71,Выбирает дату,,2022-02-21 12:33:53,2022-02-21 12:33:55,"2,211s",PASSED
"scrollToElement(findTestObject(""Object Repository/AA/gazizov""), 0)",Linux - Chrome 97.0.4692.71,Скроллит к Ганину,,2022-02-21 12:33:55,2022-02-21 12:33:58,"3,237s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/trikozov""))",Linux - Chrome 97.0.4692.71,Открывает  добавить рекомендацию Ганина,,2022-02-21 12:33:58,2022-02-21 12:34:01,"2,473s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/button exit""), STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,Нажимает кнопку закрыть на вкладке план тренеровок,,2022-02-21 12:34:01,2022-02-21 12:34:01,"0,001s",NOT_RUN
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/add""))",Linux - Chrome 97.0.4692.71,Нажимает добавить план тренировки,,2022-02-21 12:34:01,2022-02-21 12:34:04,"3,129s",PASSED
"setText(findTestObject(""Object Repository/Avangard New/Object (Тренер)/input_ _sc-eqIVtm fYABJt""), ""тестовый план тренировки"")",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:34:04,2022-02-21 12:34:09,"4,767s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/div__1zadacha""))",Linux - Chrome 97.0.4692.71,Открывает вкладку Задачи,,2022-02-21 12:34:09,2022-02-21 12:34:11,"2,191s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/button close""))",Linux - Chrome 97.0.4692.71,Нажимает закрыть задачу во вклаке задачи,,2022-02-21 12:34:11,2022-02-21 12:34:11,"0,000s",NOT_RUN
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/addzadacha""))",Linux - Chrome 97.0.4692.71,Нажимает добавить задачу,,2022-02-21 12:34:11,2022-02-21 12:34:13,"2,164s",PASSED
"setText(findTestObject(""Object Repository/Avangard New/Object (Тренер)/input_ _sc-eqIVtm fYABJt_1""), ""тестовая задача "")",Linux - Chrome 97.0.4692.71,Ввод текста,,2022-02-21 12:34:13,2022-02-21 12:34:17,"4,336s",PASSED
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Тренер)/save""), 0)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:34:17,2022-02-21 12:34:19,"1,900s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/save""))",Linux - Chrome 97.0.4692.71,Сохраняет,,2022-02-21 12:34:19,2022-02-21 12:34:22,"2,413s",PASSED
"verifyTextPresent(""Форма сохранена"", false)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:34:22,2022-02-21 12:34:27,"5,078s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/root""))",Linux - Chrome 97.0.4692.71,Переход на главную,,2022-02-21 12:34:27,2022-02-21 12:34:30,"2,704s",PASSED
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Тренер)/exit""), 0)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:34:30,2022-02-21 12:34:36,"6,872s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/exit""))",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:34:36,2022-02-21 12:34:39,"2,366s",PASSED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,Ниже проверки под игроком,,2022-02-21 12:34:39,2022-02-21 12:37:09,"2m - 30,680s",PASSED
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Тренер)/div_19.02.22""), 0)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:37:09,2022-02-21 12:37:24,"14,080s",PASSED
"verifyTextPresent(""тестовая задача"", false)",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:37:24,2022-02-21 12:37:25,"1,890s",PASSED
"enhancedClick(findTestObject(""Object Repository/Avangard New/Object (Тренер)/span_ _sc-drKuOJ cOdKkH CheckboxDisplayWithoutName""))",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:37:25,2022-02-21 12:37:25,"0,000s",NOT_RUN
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/exit""))",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:37:25,2022-02-21 12:37:28,"2,816s",PASSED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,Ниже удаление добавленных рекомендаций под тренером,,2022-02-21 12:37:28,2022-02-21 12:40:04,"2m - 35,486s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/physical_testing_report""))",Linux - Chrome 97.0.4692.71,Переход на рекомендации ОФП,,2022-02-21 12:40:04,2022-02-21 12:40:22,"18,304s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/div_31.07.2020""))",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:40:22,2022-02-21 12:40:25,"3,381s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/div_31.10.2020""))",Linux - Chrome 97.0.4692.71,,,2022-02-21 12:40:25,2022-02-21 12:40:27,"2,031s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/prosmotr""))",Linux - Chrome 97.0.4692.71,Нажал просмотр у Ганина,,2022-02-21 12:40:27,2022-02-21 12:40:30,"3,012s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/delete""))",Linux - Chrome 97.0.4692.71,Удалил план тренировок,,2022-02-21 12:40:30,2022-02-21 12:40:30,"0,001s",NOT_RUN
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/button exit""), STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,Нажимает кнопку закрыть на вкладке план тренеровок,,2022-02-21 12:40:30,2022-02-21 12:40:34,"3,496s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/div__1zadacha""))",Linux - Chrome 97.0.4692.71,Перешел на вкладку задачи,,2022-02-21 12:40:34,2022-02-21 12:40:36,"2,204s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/delete1""))",Linux - Chrome 97.0.4692.71,Удалил задачу,,2022-02-21 12:40:36,2022-02-21 12:40:36,"0,001s",NOT_RUN
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/button close""))",Linux - Chrome 97.0.4692.71,Нажимает закрыть задачу во вклаке задачи,,2022-02-21 12:40:36,2022-02-21 12:40:38,"2,193s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/save""))",Linux - Chrome 97.0.4692.71,"Соранил
",,2022-02-21 12:40:38,2022-02-21 12:40:40,"1,909s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Тренер)/root""))",Linux - Chrome 97.0.4692.71,Перешел на главную,,2022-02-21 12:40:40,2022-02-21 12:40:45,"4,449s",PASSED
closeBrowser(),Linux - Chrome 97.0.4692.71,,,2022-02-21 12:40:45,2022-02-21 12:40:45,"0,530s",PASSED
,,,,,,,
