Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Менеждер,Linux - Chrome 97.0.4692.71,,,2022-02-25 08:54:35,2022-02-25 09:19:26,"24m - 50,533s",PASSED
,,,,,,,
Test Cases/Администратор/Школы,Linux - Chrome 97.0.4692.71,смоук тест вкладки школы ,,2022-02-25 08:54:36,2022-02-25 09:00:27,"5m - 50,864s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,авторизация,,2022-02-25 08:54:38,2022-02-25 08:59:16,"4m - 37,288s",PASSED
"click(findTestObject(""Object Repository/admin/school/schools/schools""))",Linux - Chrome 97.0.4692.71,переход на вкладу школы,,2022-02-25 08:59:16,2022-02-25 08:59:27,"11,639s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""43.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-25 08:59:27,2022-02-25 08:59:33,"6,246s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/div_""))",Linux - Chrome 97.0.4692.71,"выбор Академия ""Авангард"" и переход к расписанию школы
",,2022-02-25 08:59:33,2022-02-25 08:59:36,"2,823s",PASSED
"scrollToElement(findTestObject(""Object Repository/admin/school/Page_/players""), 0)",Linux - Chrome 97.0.4692.71,переход на вкладку игроков,,2022-02-25 08:59:36,2022-02-25 08:59:43,"7,083s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/players""))",Linux - Chrome 97.0.4692.71,переход на вкладку игроков,,2022-02-25 08:59:43,2022-02-25 08:59:45,"2,142s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""44.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-25 08:59:45,2022-02-25 08:59:51,"5,479s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/team""))",Linux - Chrome 97.0.4692.71,переход на вкладку команд,,2022-02-25 08:59:51,2022-02-25 08:59:53,"2,226s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""45.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-25 08:59:53,2022-02-25 08:59:58,"5,122s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/omsk""))",Linux - Chrome 97.0.4692.71,"выбр команды ОМСКИЕ ЯСТРЕБЫ 
",,2022-02-25 08:59:58,2022-02-25 09:00:00,"2,074s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/edit""))",Linux - Chrome 97.0.4692.71,переход на вкладку редактирование ,,2022-02-25 09:00:00,2022-02-25 09:00:04,"3,380s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""47.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:00:04,2022-02-25 09:00:09,"5,126s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/allplayer""))",Linux - Chrome 97.0.4692.71,"переход на вкладку все игроки
",,2022-02-25 09:00:09,2022-02-25 09:00:11,"2,256s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""48.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:00:11,2022-02-25 09:00:16,"5,084s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/groups""))",Linux - Chrome 97.0.4692.71,"переход на вкладку занятие команды
",,2022-02-25 09:00:16,2022-02-25 09:00:19,"2,329s",PASSED
"click(findTestObject(""manager/schools/overlay""), CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:00:19,2022-02-25 09:00:24,"5,409s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/root""))",Linux - Chrome 97.0.4692.71,"переход на главную 
",,2022-02-25 09:00:24,2022-02-25 09:00:26,"2,483s",PASSED
closeBrowser(),Linux - Chrome 97.0.4692.71,конец теста,,2022-02-25 09:00:26,2022-02-25 09:00:27,"0,560s",PASSED
,,,,,,,
Test Cases/Администратор/Рейтинг,Linux - Chrome 97.0.4692.71,смоук тест,,2022-02-25 09:00:27,2022-02-25 09:04:03,"3m - 35,687s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:00:28,2022-02-25 09:02:42,"2m - 13,473s",PASSED
"click(findTestObject(""Object Repository/admin/rating/grating""))",Linux - Chrome 97.0.4692.71,переход на вкладку рейтинг игроков,,2022-02-25 09:02:42,2022-02-25 09:02:54,"12,703s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""34.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:02:54,2022-02-25 09:03:00,"5,529s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/shkool""))",Linux - Chrome 97.0.4692.71,выбор школы,,2022-02-25 09:03:00,2022-02-25 09:03:02,"2,149s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/div_ (2)""))",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:02,2022-02-25 09:03:04,"2,225s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/team""))",Linux - Chrome 97.0.4692.71,выбор команды,,2022-02-25 09:03:04,2022-02-25 09:03:08,"3,588s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/omsk""))",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:08,2022-02-25 09:03:11,"2,550s",PASSED
"scrollToElement(findTestObject(""Object Repository/admin/Page_/top1""), 0)",Linux - Chrome 97.0.4692.71,выбор игрока (Давыдов Тимофей) ,,2022-02-25 09:03:11,2022-02-25 09:03:15,"4,598s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/top1""))",Linux - Chrome 97.0.4692.71,выбор игрока (Давыдов Тимофей) ,,2022-02-25 09:03:15,2022-02-25 09:03:17,"2,249s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""37.jpg"", CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:17,2022-02-25 09:03:23,"5,311s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/skill""))",Linux - Chrome 97.0.4692.71,просмотр владки оценка навыков,,2022-02-25 09:03:23,2022-02-25 09:03:25,"2,295s",PASSED
"verifyTextPresent(""Ускорение"", true)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:25,2022-02-25 09:03:28,"3,533s",PASSED
"verifyTextPresent(""Скорость"", true)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:28,2022-02-25 09:03:31,"2,390s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""39.jpg"", CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:31,2022-02-25 09:03:36,"5,336s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/stat""))",Linux - Chrome 97.0.4692.71,просмотр владки игровой статистики,,2022-02-25 09:03:36,2022-02-25 09:03:38,"2,254s",PASSED
"verifyTextPresent(""Матчи"", true, CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:38,2022-02-25 09:03:41,"2,531s",PASSED
"verifyTextPresent(""Ранг"", true, CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:41,2022-02-25 09:03:43,"2,286s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""40.jpg"", CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:43,2022-02-25 09:03:48,"5,146s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/ptest""))",Linux - Chrome 97.0.4692.71,просмотр владки физ тестирования ,,2022-02-25 09:03:48,2022-02-25 09:03:51,"2,116s",PASSED
"verifyTextPresent(""СРЕДНЯЯ ОЦЕНКА"", true)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:51,2022-02-25 09:03:53,"2,551s",PASSED
"verifyTextPresent(""Список навыков и характеристики"", true)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:53,2022-02-25 09:03:55,"2,060s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""38.jpg"", CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-02-25 09:03:55,2022-02-25 09:04:00,"4,914s",PASSED
