Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Менеждер,Chrome 99.0.4844.51,,,2022-03-15 00:32:31,2022-03-15 00:43:31,"10m - 59,944s",FAILED
,,,,,,,
Test Cases/Администратор/Школы,Chrome 99.0.4844.51,смоук тест вкладки школы ,,2022-03-15 00:32:33,2022-03-15 00:34:00,"1m - 26,741s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 99.0.4844.51,авторизация,,2022-03-15 00:32:36,2022-03-15 00:33:10,"33,862s",PASSED
"click(findTestObject(""Object Repository/admin/school/schools/schools""))",Chrome 99.0.4844.51,переход на вкладу школы,,2022-03-15 00:33:10,2022-03-15 00:33:30,"20,233s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""43.jpg"")",Chrome 99.0.4844.51,,,2022-03-15 00:33:30,2022-03-15 00:33:33,"2,553s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/div_""))",Chrome 99.0.4844.51,"выбор Академия ""Авангард"" и переход к расписанию школы
",,2022-03-15 00:33:33,2022-03-15 00:33:35,"1,947s",PASSED
"scrollToElement(findTestObject(""Object Repository/admin/school/Page_/players""), 0)",Chrome 99.0.4844.51,переход на вкладку игроков,,2022-03-15 00:33:35,2022-03-15 00:33:41,"5,532s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/players""))",Chrome 99.0.4844.51,переход на вкладку игроков,,2022-03-15 00:33:41,2022-03-15 00:33:42,"1,281s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""44.jpg"")",Chrome 99.0.4844.51,,,2022-03-15 00:33:42,2022-03-15 00:33:43,"1,444s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/team""))",Chrome 99.0.4844.51,переход на вкладку команд,,2022-03-15 00:33:43,2022-03-15 00:33:47,"3,803s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""45.jpg"")",Chrome 99.0.4844.51,,,2022-03-15 00:33:47,2022-03-15 00:33:49,"1,672s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/omsk""))",Chrome 99.0.4844.51,"выбр команды ОМСКИЕ ЯСТРЕБЫ 
",,2022-03-15 00:33:49,2022-03-15 00:33:50,"1,076s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/edit""))",Chrome 99.0.4844.51,переход на вкладку редактирование ,,2022-03-15 00:33:50,2022-03-15 00:33:51,"0,824s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""47.jpg"")",Chrome 99.0.4844.51,,,2022-03-15 00:33:51,2022-03-15 00:33:52,"1,265s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/allplayer""))",Chrome 99.0.4844.51,"переход на вкладку все игроки
",,2022-03-15 00:33:52,2022-03-15 00:33:53,"0,765s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""48.jpg"")",Chrome 99.0.4844.51,,,2022-03-15 00:33:53,2022-03-15 00:33:54,"1,050s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/groups""))",Chrome 99.0.4844.51,"переход на вкладку занятие команды
",,2022-03-15 00:33:54,2022-03-15 00:33:54,"0,756s",PASSED
"click(findTestObject(""manager/schools/overlay""), CONTINUE_ON_FAILURE)",Chrome 99.0.4844.51,,,2022-03-15 00:33:54,2022-03-15 00:33:58,"3,512s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/root""))",Chrome 99.0.4844.51,"переход на главную 
",,2022-03-15 00:33:58,2022-03-15 00:33:59,"0,917s",PASSED
closeBrowser(),Chrome 99.0.4844.51,конец теста,,2022-03-15 00:33:59,2022-03-15 00:34:00,"0,916s",PASSED
,,,,,,,
Test Cases/Администратор/Рейтинг,Chrome 99.0.4844.51,смоук тест,,2022-03-15 00:34:00,2022-03-15 00:35:27,"1m - 27,044s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 99.0.4844.51,,,2022-03-15 00:34:01,2022-03-15 00:34:30,"28,931s",PASSED
"click(findTestObject(""Object Repository/admin/rating/grating""))",Chrome 99.0.4844.51,переход на вкладку рейтинг игроков,,2022-03-15 00:34:30,2022-03-15 00:35:00,"30,654s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""34.jpg"")",Chrome 99.0.4844.51,,,2022-03-15 00:35:00,2022-03-15 00:35:01,"0,870s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/shkool""))",Chrome 99.0.4844.51,выбор школы,,2022-03-15 00:35:01,2022-03-15 00:35:02,"0,961s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/div_ (2)""))",Chrome 99.0.4844.51,,,2022-03-15 00:35:02,2022-03-15 00:35:03,"0,771s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/team""))",Chrome 99.0.4844.51,выбор команды,,2022-03-15 00:35:03,2022-03-15 00:35:04,"0,855s",PASSED
