Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Тренер,,,,2022-03-03 11:29:44,2022-03-03 11:30:18,"34,188s",FAILED
,,,,,,,
Test Cases/Тренер/Авторизация,,,,2022-03-03 11:29:46,2022-03-03 11:29:56,"9,375s",FAILED
"openBrowser("""")",,,,2022-03-03 11:29:48,2022-03-03 11:29:56,"7,395s",FAILED
,,,,,,,
Test Cases/Тренер/Составы,,,,2022-03-03 11:29:56,2022-03-03 11:30:00,"3,854s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:29:58,2022-03-03 11:30:00,"2,059s",FAILED
,,,,,,,
Test Cases/Тренер/Профиль Тренера,,,,2022-03-03 11:30:00,2022-03-03 11:30:04,"4,200s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:02,2022-03-03 11:30:04,"2,271s",FAILED
,,,,,,,
Test Cases/Тренер/Статистика,,,,2022-03-03 11:30:04,2022-03-03 11:30:06,"2,405s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:05,2022-03-03 11:30:06,"1,446s",FAILED
,,,,,,,
Test Cases/Тренер/Оценка навыков,,,,2022-03-03 11:30:06,2022-03-03 11:30:11,"4,570s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:09,2022-03-03 11:30:11,"2,142s",FAILED
,,,,,,,
Test Cases/Тренер/Оценка по играм,,,,2022-03-03 11:30:11,2022-03-03 11:30:14,"3,675s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:13,2022-03-03 11:30:14,"1,470s",FAILED
,,,,,,,
Test Cases/Тренер/Рекомендации по ОФП,,,,2022-03-03 11:30:15,2022-03-03 11:30:18,"3,515s",FAILED
"callTestCase(findTestCase(""Тренер/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-03 11:30:17,2022-03-03 11:30:18,"1,461s",FAILED
