Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Игрок,,,,2022-03-14 22:10:36,2022-03-14 22:40:54,"30m - 17,706s",FAILED
,,,,,,,
Test Cases/Игрок/Авторизация,,,,2022-03-14 22:10:38,2022-03-14 22:25:48,"15m - 10,241s",FAILED
"openBrowser("""")",,,,2022-03-14 22:10:42,2022-03-14 22:25:48,"15m - 6,369s",FAILED
,,,,,,,
Test Cases/Игрок/Отчеты,,,,2022-03-14 22:25:48,2022-03-14 22:40:54,"15m - 5,694s",FAILED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",,,,2022-03-14 22:25:49,2022-03-14 22:40:54,"15m - 4,891s",FAILED
